customer_name,type,node
"Linde Philippines (South), Inc.",CC,Calung-Calung
Liquid Packaging Corp.,CC,Mandaue
Lockheart Management Dev't Corp.,CC,Mandaue
"LTHFood Industries, Inc.",CC,Mandaue
Lucky Group Management and Development Corporation,CC,Cebu
"Mabuhay Filcement, Inc.",CC,Colon
Mactan Enerzone Corporation,DU,Lapu-Lapu
Mactan Seascapes Services Inc.,CC,Lapu-Lapu
"Mactan Shangri-La Hotel & Resort, Inc.",CC,Lapu-Lapu
"Makoto Metal Technology, Inc. (Plant 1)",CC,Lapu-Lapu
"Marcel FoodSciences, Inc.",CC,Naga
"Marcela Farms, Inc.",CC,Ubay
"Marcela Farms, Inc. - Piggery / Poultry",CC,Corella
Marco Polo Plaza Hotel Cebu c/o Cathay International Resources Corporation,CC,Quiot
Mary Mart Mall A&B,CC,Iloilo 1
"Masterpiece Asia Properties, Inc. (Vistamall Talisay)",CC,Colon
Metro Retail Stores Group Inc (Super Metro Gaisano),CC,Mandaue
"Metro Retail Stores Group, Inc.",CC,Cebu
"Metro Retail Stores Group, Inc. (Formerly Vicsal)",CC,Lapu-Lapu
"Metro Retail Stores Group, Inc.(Vicsal-Gaisano Colon)",CC,Quiot
"Metro Retail Stores Group, Inc.(Vicsal-M1-Gaisano Colon)",CC,Quiot
"Metro Retail Stores Group, Inc.(Vicsal-Mambaling)",CC,Quiot
"METS LOGISTICS, INC (CEBU)",CC,Mandaue
Miesto International Foods Corporation,CC,Mandaue
Monde Nissin Corporation – Cebu,CC,Mandaue
"Monte Solar Energy, Inc.",CC,Amlan
MORE Electric and Power Corporation,DU,Iloilo 1
Multipack Manufacturing Corporation,CC,Compostela
Negros Island Solar Power Inc.,CC,Bacolod
Negros Island Solar Power Inc.,CC,Cadiz
"Negros Occidental Electric Cooperative, Inc.",DU,Bacolod
"Negros Occidental Electric Cooperative, Inc.",DU,Kabankalan
"Negros Oriental I Electric Cooperative, Inc.",DU,Amlan
"Negros Oriental I Electric Cooperative, Inc.",DU,Mabinay
